date,home_team,score,away_team
21-02-2025,Leicester,0 - 4,Brentford
15-02-2025,West Ham,0 - 1,Brentford
02-02-2025,Brentford,0 - 2,Tottenham
26-01-2025,Crystal Palace,1 - 2,Brentford
18-01-2025,Brentford,0 - 2,Liverpool
14-01-2025,Brentford,2 - 2,Man City
04-01-2025,Southampton,0 - 5,Brentford
01-01-2025,Brentford,1 - 3,Arsenal
27-12-2024,Brighton,0 - 0,Brentford
21-12-2024,Brentford,0 - 2,Nott'm Forest
15-12-2024,Chelsea,2 - 1,Brentford
07-12-2024,Brentford,4 - 2,Newcastle
04-12-2024,Aston Villa,3 - 1,Brentford
30-11-2024,Brentford,4 - 1,Leicester
23-11-2024,Everton,0 - 0,Brentford
09-11-2024,Brentford,3 - 2,Bournemouth
04-11-2024,Fulham,2 - 1,Brentford
26-10-2024,Brentford,4 - 3,Ipswich
19-10-2024,Man United,2 - 1,Brentford
05-10-2024,Brentford,5 - 3,Wolves
28-09-2024,Brentford,1 - 1,West Ham
21-09-2024,Tottenham,3 - 1,Brentford
14-09-2024,Man City,2 - 1,Brentford
31-08-2024,Brentford,3 - 1,Southampton
25-08-2024,Liverpool,2 - 0,Brentford
18-08-2024,Brentford,2 - 1,Crystal Palace
25-05-2025,Tottenham,1 - 4,Brighton
19-05-2025,Brighton,3 - 2,Liverpool
10-05-2025,Wolves,0 - 2,Brighton
04-05-2025,Brighton,1 - 1,Newcastle
26-04-2025,Brighton,3 - 2,West Ham
19-04-2025,Brentford,4 - 2,Brighton
12-04-2025,Brighton,2 - 2,Leicester
05-04-2025,Crystal Palace,2 - 1,Brighton
02-04-2025,Brighton,0 - 3,Aston Villa
15-03-2025,Man City,2 - 2,Brighton
08-03-2025,Brighton,2 - 1,Fulham
25-02-2025,Brighton,2 - 1,Bournemouth
22-02-2025,Southampton,0 - 4,Brighton
14-02-2025,Brighton,3 - 0,Chelsea
01-02-2025,Nott'm Forest,7 - 0,Brighton
25-01-2025,Brighton,0 - 1,Everton
19-01-2025,Man United,1 - 3,Brighton
16-01-2025,Ipswich,0 - 2,Brighton
04-01-2025,Brighton,1 - 1,Arsenal
30-12-2024,Aston Villa,2 - 2,Brighton
27-12-2024,Brighton,0 - 0,Brentford
21-12-2024,West Ham,1 - 1,Brighton
15-12-2024,Brighton,1 - 3,Crystal Palace
08-12-2024,Leicester,2 - 2,Brighton
05-12-2024,Fulham,3 - 1,Brighton
29-11-2024,Brighton,1 - 1,Southampton
23-11-2024,Bournemouth,1 - 2,Brighton
09-11-2024,Brighton,2 - 1,Man City
02-11-2024,Liverpool,2 - 1,Brighton
26-10-2024,Brighton,2 - 2,Wolves
19-10-2024,Newcastle,0 - 1,Brighton
06-10-2024,Brighton,3 - 2,Tottenham
28-09-2024,Chelsea,4 - 2,Brighton
22-09-2024,Brighton,2 - 2,Nott'm Forest
14-09-2024,Brighton,0 - 0,Ipswich
31-08-2024,Arsenal,1 - 1,Brighton
24-08-2024,Brighton,2 - 1,Man United
17-08-2024,Everton,0 - 3,Brighton
25-05-2025,Nott'm Forest,0 - 1,Chelsea
16-05-2025,Chelsea,1 - 0,Man United
11-05-2025,Newcastle,2 - 0,Chelsea
04-05-2025,Chelsea,3 - 1,Liverpool
26-04-2025,Chelsea,1 - 0,Everton
20-04-2025,Fulham,1 - 2,Chelsea
13-04-2025,Chelsea,2 - 2,Ipswich
06-04-2025,Brentford,0 - 0,Chelsea
03-04-2025,Chelsea,1 - 0,Tottenham
16-03-2025,Arsenal,1 - 0,Chelsea
09-03-2025,Chelsea,1 - 0,Leicester
25-02-2025,Chelsea,4 - 0,Southampton
22-02-2025,Aston Villa,2 - 1,Chelsea
14-02-2025,Brighton,3 - 0,Chelsea
03-02-2025,Chelsea,2 - 1,West Ham
25-01-2025,Man City,3 - 1,Chelsea
20-01-2025,Chelsea,3 - 1,Wolves
14-01-2025,Chelsea,2 - 2,Bournemouth
04-01-2025,Crystal Palace,1 - 1,Chelsea
30-12-2024,Ipswich,2 - 0,Chelsea
26-12-2024,Chelsea,1 - 2,Fulham
22-12-2024,Everton,0 - 0,Chelsea
15-12-2024,Chelsea,2 - 1,Brentford
08-12-2024,Tottenham,3 - 4,Chelsea
04-12-2024,Southampton,1 - 5,Chelsea
01-12-2024,Chelsea,3 - 0,Aston Villa
23-11-2024,Leicester,1 - 2,Chelsea
10-11-2024,Chelsea,1 - 1,Arsenal
03-11-2024,Man United,1 - 1,Chelsea
27-10-2024,Chelsea,2 - 1,Newcastle
20-10-2024,Liverpool,2 - 1,Chelsea
06-10-2024,Chelsea,1 - 1,Nott'm Forest
28-09-2024,Chelsea,4 - 2,Brighton
21-09-2024,West Ham,0 - 3,Chelsea
14-09-2024,Bournemouth,0 - 1,Chelsea
01-09-2024,Chelsea,1 - 1,Crystal Palace
25-08-2024,Wolves,2 - 6,Chelsea
18-08-2024,Chelsea,0 - 2,Man City
25-05-2025,Liverpool,1 - 1,Crystal Palace
20-05-2025,Crystal Palace,4 - 2,Wolves
11-05-2025,Tottenham,0 - 2,Crystal Palace
